TRADE_DT,CODE,EXPIRY,TYPE,STRIKE,PRICE,VOLUME,OI,TAU,EXPIRY_CODE
2026-06-01,MO2609-P-7800.CFE,2026-09-18,PUT,7800.0,336.2,697.0,1440.0,0.29863013698630136,2609
2026-06-01,MO2609-P-8000.CFE,2026-09-18,PUT,8000.0,429.0,771.0,1521.0,0.29863013698630136,2609
2026-06-01,MO2609-P-8200.CFE,2026-09-18,PUT,8200.0,528.4,433.0,917.0,0.29863013698630136,2609
2026-06-01,MO2609-P-8400.CFE,2026-09-18,PUT,8400.0,649.0,479.0,1151.0,0.29863013698630136,2609
2026-06-01,MO2609-P-8600.CFE,2026-09-18,PUT,8600.0,783.6,368.0,1172.0,0.29863013698630136,2609
2026-06-01,MO2609-P-8800.CFE,2026-09-18,PUT,8800.0,922.8,42.0,801.0,0.29863013698630136,2609
2026-06-01,MO2609-P-9000.CFE,2026-09-18,PUT,9000.0,1063.2,2.0,357.0,0.29863013698630136,2609
2026-06-01,MO2609-P-9200.CFE,2026-09-18,PUT,9200.0,1236.0,5.0,204.0,0.29863013698630136,2609
2026-06-01,MO2609-P-9400.CFE,2026-09-18,PUT,9400.0,1384.2,4.0,207.0,0.29863013698630136,2609
2026-06-01,MO2609-P-9600.CFE,2026-09-18,PUT,9600.0,1582.2,17.0,210.0,0.29863013698630136,2609
2026-06-01,MO2609-P-9800.CFE,2026-09-18,PUT,9800.0,1749.0,6.0,19.0,0.29863013698630136,2609
2026-06-01,MO2612-C-10000.CFE,2026-12-18,CALL,10000.0,117.8,290.0,443.0,0.547945205479452,2612
