TRADE_DT,EXPIRY,EXPIRY_CODE,MODEL,TARGET,TARGET_DELTA,LOG_MONEYNESS,STRIKE,MODEL_IV,ACHIEVED_DELTA,DELTA_ERROR,STATUS
2026-06-08,2026-08-21,2608,QUADRATIC,ATM,,0.0,7947.851448203917,0.2822209388878726,,,OK
2026-06-08,2026-09-18,2609,QUADRATIC,10CALL,0.1,0.21362792062759398,9711.151214722568,0.2976184806690644,0.10000000001413879,1.4138787363116023e-11,OK
2026-06-08,2026-09-18,2609,QUADRATIC,25CALL,0.25,0.11170874679088591,8770.165357790496,0.2832452613291391,0.25000000004498757,4.498756922544089e-11,OK
2026-06-08,2026-09-18,2609,QUADRATIC,75PUT,-0.25,-0.08954006564617142,7171.44270678084,0.28415682496530087,-0.2499999999918614,8.138600904317173e-12,OK
2026-06-08,2026-09-18,2609,QUADRATIC,90PUT,-0.1,-0.1897634603977203,6487.540258059174,0.29911722816326747,-0.1000000000652235,6.522349327298116e-11,OK
2026-06-08,2026-09-18,2609,QUADRATIC,ATM,,0.0,7843.2,0.27894895347751353,,,OK
2026-06-08,2026-12-18,2612,QUADRATIC,10CALL,0.1,0.2924368846416473,10221.820805739339,0.2908371289713315,0.09999999994379366,5.6206345133702484e-11,OK
2026-06-08,2026-12-18,2612,QUADRATIC,25CALL,0.25,0.15705981409549713,8927.600514443766,0.2804335758095866,0.2500000000196559,1.9655888028324853e-11,OK
2026-06-08,2026-12-18,2612,QUADRATIC,75PUT,-0.25,-0.11343174612522113,6811.797934354242,0.2744074181435705,-0.249999999961123,3.8877012720206494e-11,OK
2026-06-08,2026-12-18,2612,QUADRATIC,90PUT,-0.1,-0.23791163420677186,6014.517987216764,0.278244693473045,-0.09999999996664097,3.335903775436577e-11,OK
2026-06-08,2026-12-18,2612,QUADRATIC,ATM,,0.0,7630.0,0.2745391592607995,,,OK
2026-06-08,2027-03-19,2703,QUADRATIC,10CALL,0.1,0.3540465173721314,10801.754098437508,0.28644391878288666,0.09999999993917193,6.082807868512674e-11,OK
2026-06-08,2027-03-19,2703,QUADRATIC,25CALL,0.25,0.18120389437675477,9087.191680977345,0.2629440191838017,0.2499999999253303,7.466968710012623e-11,OK
2026-06-08,2027-03-19,2703,QUADRATIC,75PUT,-0.25,-0.13753538560867298,6606.979792095101,0.290195159884526,-0.24999999999992592,7.407963131811357e-14,OK
2026-06-08,2027-03-19,2703,QUADRATIC,90PUT,-0.1,-0.3558380727767943,5311.232658097147,0.36167495526961907,-0.10000000004124321,4.1243203297014475e-11,OK
2026-06-08,2027-03-19,2703,QUADRATIC,ATM,,0.0,7581.128142860423,0.2672089948277916,,,OK
2026-06-09,2026-06-22,2606,QUADRATIC,10CALL,0.1,0.06945225220918655,8825.553357987174,0.2813971454202403,0.10000000003698283,3.698281958453009e-11,OK
2026-06-09,2026-06-22,2606,QUADRATIC,25CALL,0.25,0.03605515778064728,8535.67304229557,0.27299204866141846,0.2500000000715723,7.157230363930012e-11,OK
2026-06-09,2026-06-22,2606,QUADRATIC,75PUT,-0.25,-0.03385763576626781,7959.302865681905,0.2768821863334057,-0.250000000059398,5.939798652931927e-11,OK
2026-06-09,2026-06-22,2606,QUADRATIC,90PUT,-0.1,-0.06853184080123906,7688.050276838309,0.28959915657041174,-0.09999999991803932,8.196068823629332e-11,OK
2026-06-09,2026-06-22,2606,QUADRATIC,ATM,,0.0,8233.4,0.2713669333465301,,,OK
2026-06-09,2026-07-17,2607,QUADRATIC,10CALL,0.1,0.11392939138412475,9137.743449684205,0.26674858023699016,0.09999999990539736,9.46026451620341e-11,OK
2026-06-09,2026-07-17,2607,QUADRATIC,25CALL,0.25,0.0599655921459198,8657.704935048489,0.2598597498209539,0.25000000002413314,2.4133139930881953e-11,OK
2026-06-09,2026-07-17,2607,QUADRATIC,75PUT,-0.25,-0.05730739504098896,7699.663920479835,0.28299504260834674,-0.24999999996141867,3.85813325731732e-11,OK
2026-06-09,2026-07-17,2607,QUADRATIC,90PUT,-0.1,-0.1276186368465423,7176.884960521106,0.321893431695043,-0.0999999999805846,1.9415399843403236e-11,OK
2026-06-09,2026-07-17,2607,QUADRATIC,ATM,,0.0,8153.8,0.26516865164714865,,,OK
2026-06-09,2026-08-21,2608,QUADRATIC,10CALL,0.1,0.15320783162117005,9538.079645405054,0.25620756154591,0.10000000001155628,1.1556269829959831e-11,OK
2026-06-09,2026-08-21,2608,QUADRATIC,25CALL,0.25,0.08097947192192077,8873.451226719299,0.24881096544076975,0.2499999999378148,6.218520143264072e-11,OK
2026-06-09,2026-08-21,2608,QUADRATIC,75PUT,-0.25,-0.08189605140686021,7539.744436927062,0.3029990485007293,-0.24999999997446368,2.5536323056130072e-11,OK
2026-06-09,2026-08-21,2608,QUADRATIC,90PUT,-0.1,-0.232998532295227,6482.367549743912,0.4410718165231933,-0.10000000007236169,7.236168608759641e-11,OK
2026-06-09,2026-08-21,2608,QUADRATIC,ATM,,0.0,8183.208726445433,0.2634790143822669,,,OK
2026-06-09,2026-09-18,2609,QUADRATIC,10CALL,0.1,0.20575694990158083,9819.037551446048,0.28864730666367083,0.09999999994879619,5.120381896261961e-11,OK
2026-06-09,2026-09-18,2609,QUADRATIC,25CALL,0.25,0.10871610343456267,8910.962515492738,0.2776874543498001,0.24999999994072397,5.92760285300642e-11,OK
2026-06-09,2026-09-18,2609,QUADRATIC,75PUT,-0.25,-0.08830265194177615,7317.461708487631,0.2810376509513059,-0.2500000000207298,2.0729806760044767e-11,OK
2026-06-09,2026-09-18,2609,QUADRATIC,90PUT,-0.1,-0.18680426955223084,6631.041554650533,0.2955760006483635,-0.10000000006124952,6.124951934527445e-11,OK
2026-06-09,2026-09-18,2609,QUADRATIC,ATM,,0.0,7993.0,0.2752939035824892,,,OK
2026-06-09,2026-12-18,2612,QUADRATIC,10CALL,0.1,0.2827917737960816,10302.029942471567,0.28263543902129734,0.0999999999941016,5.8984067630163395e-12,OK
2026-06-09,2026-12-18,2612,QUADRATIC,25CALL,0.25,0.15389837408065793,9056.181451769826,0.27614430640342524,0.24999999994739647,5.2603532640915773e-11,OK
2026-06-09,2026-12-18,2612,QUADRATIC,75PUT,-0.25,-0.11210063123702993,6941.0187144904885,0.2711984507658286,-0.25000000009240037,9.240036513702421e-11,OK
2026-06-09,2026-12-18,2612,QUADRATIC,90PUT,-0.1,-0.23303105401992796,6150.406208469612,0.27271405618822553,-0.10000000007537431,7.537430402049239e-11,OK
2026-06-09,2026-12-18,2612,QUADRATIC,ATM,,0.0,7764.4,0.27189495649726053,,,OK
2026-06-09,2027-03-19,2703,QUADRATIC,10CALL,0.1,0.3177247862815856,10724.914694252999,0.25972840842789535,0.0999999999540587,4.5941306314745134e-11,OK
2026-06-09,2027-03-19,2703,QUADRATIC,25CALL,0.25,0.17053932476043704,9257.037280424785,0.249809547353217,0.25000000004548584,4.5485837318892663e-11,OK
2026-06-09,2027-03-19,2703,QUADRATIC,75PUT,-0.25,-0.13992695903778068,6786.380699749406,0.29736726875840713,-0.250000000011624,1.1623979556674158e-11,OK
2026-06-09,2027-03-19,2703,QUADRATIC,90PUT,-0.1,-0.38935415172576904,5288.26689373382,0.40288252563776505,-0.09999999990625383,9.374617748747482e-11,OK
2026-06-09,2027-03-19,2703,QUADRATIC,ATM,,0.0,7805.625756754176,0.26443189491943,,,OK
