"CODE","DAY","CCY","PRECLOSE","OPEN","HIGH","LOW","CLOSE","CHANGE","PCTCHANGE","VOLUME","AMOUNT","ADJPRECLOSE","ADJOPEN","ADJHIGH","ADJLOW","ADJCLOSE","ADJFACTOR","AVGPRICE","TRADESTATUS","TRADESTATUSCODE","LIMIT","STOPPING","PRESETTLE","SETTLE","OI","FS_INFO_TYPE","OPDATE","SOURCE","OICHANGE","DIRTYPRICE","NETPRICE","NAV","ADJNAV","NAV_ADJFACTOR","ROOT","BID","ASK","MID","FIRST_NOTICE_DAY","LAST_TRADING_DAY","PREHALFH_AVG_PRICE","ADJ_FACTOR_NET","ADJ_CLOSE_NET","DELTA","GAMMA","VEGA","THETA","RHO"
IM2609.CFE,"2026-06-17",,,8330,8446.8,8320,8445,86.2,,91903,15417863.356,,,,,,,,,,,,8358.8,8414,188057,"2",2026-06-20 17:30:36,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-18",,,8430,8533.2,8416,8510,96,,114746,19473590.94,,,,,,,,,,,,8414,8505.6,204527,"2",2026-06-21 17:30:31,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-22",,,8546,8558,8367,8524.2,18.6,,158991,26912673.04,,,,,,,,,,,,8505.6,8521.6,221871,"2",2026-06-25 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-23",,,8501.8,8535,8339.2,8403,-118.6,,169243,28604728.248,,,,,,,,,,,,8521.6,8381.2,221704,"2",2026-06-26 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-24",,,8413.2,8520,8344.6,8472.4,91.2,,144567,24386752.34,,,,,,,,,,,,8381.2,8486.8,214962,"2",2026-06-26 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-25",,,8498,8562,8430,8523.8,37,,144932,24638644.276,,,,,,,,,,,,8486.8,8517.8,216470,"2",2026-06-28 17:30:36,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-26",,,8480,8490.2,8260.2,8319.2,-198.6,,174428,29174675.272,,,,,,,,,,,,8517.8,8324,220480,"2",2026-06-29 17:30:39,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-29",,,8335,8393,8145.2,8308.6,-15.4,,171721,28382017.12,,,,,,,,,,,,8324,8286.8,220381,"2",2026-07-02 17:30:57,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-30",,,8300,8518.8,8270,8504.2,217.4,,146627,24659779.004,,,,,,,,,,,,8286.8,8485,210892,"2",2026-07-03 17:31:00,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-07-01",,,8500,8629,8480,8517.6,32.6,,168136,28792754.34,,,,,,,,,,,,8485,8525.6,219809,"2",2026-07-04 17:30:45,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
